casualty_id,event_id,deaths_a,deaths_b,deaths_civilians,death_unknown,best,high,low
1,147997,0,5,0,0,5,5,5
2,149221,0,0,0,1,1,1,1
3,149248,10,4,0,12,26,26,26
4,149249,0,0,0,2,2,2,2
5,149251,0,0,0,6,6,6,6
6,149250,2,46,0,0,48,67,48
7,153030,0,0,0,45,45,45,45
8,149866,1,2,0,0,3,3,3
9,149868,0,0,0,1,1,1,1
10,419757,0,0,1,0,1,1,0
11,149876,0,3,0,0,3,3,3
12,149879,0,0,0,0,0,4,0
13,398179,1,0,0,0,1,1,1
14,398183,1,0,0,0,1,1,1
15,149973,1,3,0,0,4,4,4
16,152957,0,5,0,0,5,5,5
17,399045,1,0,0,0,1,1,0
18,399046,1,0,0,0,1,1,0
19,399063,5,0,0,0,5,5,5
20,399053,1,0,0,0,1,1,1
21,153027,0,3,2,0,5,5,5
22,153037,1,0,0,0,1,1,1
23,153149,0,0,0,0,0,10,0
24,153143,5,0,0,5,10,10,10
25,153433,0,0,0,1,1,1,1
26,153154,4,4,2,0,10,35,9
27,153435,6,7,0,0,13,21,13
28,400158,1,0,0,0,1,1,1
29,153997,7,0,0,0,7,7,6
30,154007,1,0,0,0,1,1,1
31,400186,1,0,0,0,1,1,0
32,154030,16,1,0,0,17,17,17
33,417904,1,0,0,0,1,1,1
34,154034,5,10,0,0,15,16,15
35,400197,3,0,0,0,3,3,3
36,400200,1,0,0,0,1,1,1
37,406991,1,0,0,0,1,1,1
38,154047,0,0,2,0,2,2,2
39,154049,0,0,0,1,1,1,1
40,154050,0,50,0,0,50,50,48
41,154054,2,0,0,0,2,2,2
42,406994,1,0,0,0,1,1,0
43,154058,12,0,0,0,12,12,12
44,154062,0,1,0,0,1,1,1
45,406995,1,0,0,0,1,1,1
46,406996,1,0,0,0,1,1,1
47,154067,0,10,0,0,10,10,10
48,154068,1,0,0,0,1,1,1
49,407090,1,0,0,0,1,1,0
50,154070,0,40,0,0,40,40,0
