id,unique_,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country_id
NULL,asd,NULL,#loc+name,NULL,#adm1+name,#adm2+name,#geo+lat,#geo+lon,NULL,NULL
147997,1,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,NULL,50.45,30.52333,202022,369
149221,2,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,NULL,50.45,30.52333,202022,369
149248,3,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,NULL,50.45,30.52333,202022,369
149249,4,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,NULL,50.45,30.52333,202022,369
149251,5,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,NULL,50.45,30.52333,202022,369
149250,6,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican city,NULL,50.45,30.52333,202022,369
153030,7,1,Odessa town,Odessa town,Odessa oblast,Odessa City municipality,46.466667,30.733333,196262,369
149866,8,1,Sloviansk town,Sloviansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
149868,9,5,M03 road between Sloviansk and Artemivsk town,stretch of the road connecting Slavyansk and the town of Artemivsk,Donetsk oblast,NULL,48.776492,37.778737,199876,369
419757,10,5,Donets Basin Area,Donets basin area,NULL,NULL,48.15,38.65,199158,369
149876,11,1,Mariupol town,Mariupol town,Donetsk oblast,Mariupol City municipality,47.095833,37.549444,197716,369
149879,12,1,Kramatorsk airfield,Kramatorsk airfield,Donetsk oblast,Kramatorsk raion,48.7067,37.6302,199876,369
398179,13,2,Sloviansk town,Town/City Slavyansk Donetsk region,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
398183,14,2,Sloviansk town,Town/City Slavyansk Donetsk region,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
149973,15,2,Bylbasovka village,near the village of Bylbasovka in the vicinity of Slavyansk,Donetsk oblast,Sloviansk raion,48.837342,37.500353,199876,369
152957,16,1,Sloviansk town,"Sloviansk town, north-east of the center",Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
399045,17,2,Kutuzovka village,"near the village of Kutuzovka, Dobropolsky district, Donetsk region",Donetsk oblast,Dobropil raion,48.489654,37.190391,199155,369
399046,18,5,Donets Basin Area,No geoinfo.,NULL,NULL,48.15,38.65,199158,369
399063,19,2,Karpovka village,"near the village of Karpovka, Slavyansky district, Donetsk region",Donetsk oblast,Sloviansk raion,48.896581,37.647397,199876,369
399053,20,2,Andreyevka village,near the village of Andreevka near Slavyansk,Donetsk oblast,Sloviansk raion,48.817931,37.551012,199876,369
153027,21,1,Sloviansk town,Slavyansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
153037,22,2,Andreyevka village,near the village of Andreevka near Slavyansk,Donetsk oblast,Sloviansk raion,48.817931,37.551012,199876,369
153149,23,1,Andreyevka village,Andreyevka village,Donetsk oblast,Sloviansk raion,48.817931,37.551012,199876,369
153143,24,2,Sloviansk town,outskirts of Slavyansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
153433,25,1,Kramatorsk town,Kramatorsk town,Donetsk oblast,Kramatorsk raion,48.716667,37.533333,199876,369
153154,26,2,Sloviansk town,around Slavyansk town; near Slavyansk,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
153435,27,1,Mariupol town,Mariupol town,Donetsk oblast,Mariupol City municipality,47.095833,37.549444,197716,369
400158,28,2,Sloviansk town,"Slavyansk, Donetsk region",Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
153997,29,1,Oktyabrske village,"Oktyabrske village, 20 km from Kramatorsk",Donetsk oblast,Dobropil raion,48.462882,37.349593,199155,369
154007,30,1,Karachun hill,near Slavyansk; on Mount Karachun near Slavyansk,Donetsk oblast,Sloviansk raion,48.813702,37.56144,199876,369
400186,31,5,Donets Basin Area,No geoinfo provided,NULL,NULL,48.15,38.65,199158,369
154030,32,2,Blagodatne village,"checkpoint in Volnovaha town;  near the village of Blagodatnoye, Volnovakha district, Donetsk region",Donetsk oblast,Telmanove raion,47.700319,37.420509,198435,369
417904,33,2,Volnovakha town,near the town of Volnovakha (Donetsk region),Donetsk oblast,Telmanove raion,47.595,37.4825,198435,369
154034,34,2,Karlivka village,Karlivka village,Donetsk oblast,Yasynuvata raion,48.1111,37.4884,199155,369
400197,35,2,Zolotyi Kolodiaz village,"a checkpoint near the village of Zolotoy Kolodets, Dobropolsky district, Donetsk region",Donetsk oblast,Dobropil raion,48.527293,37.237221,199875,369
400200,36,2,Novopavlovka village,"near the village of Novopavlovka, Volnovakha district, Donetsk region",Donetsk oblast,Telmanove raion,47.558159,37.443937,198435,369
406991,37,2,Sloviansk town,Town/City Slavyansk Donetsk region,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
154047,38,1,Sloviansk town,Slavyansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
154049,39,1,Mariupol town,Mariupol town,Donetsk oblast,Mariupol City municipality,47.095833,37.549444,197716,369
154050,40,1,Donetsk International airport,Donetsk Airport,Donetsk oblast,Donetsk City municipality,48.075,37.725556,199156,369
154054,41,1,Horlivka town,Gorlovka/Horlivka town,Donetsk oblast,Horlivka City municipality,48.3,38.05,199157,369
406994,42,5,Donets Basin Area,a firing position near a checkpoint,NULL,NULL,48.15,38.65,199158,369
154058,43,2,Sloviansk town,near Slavyansk,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
154062,44,1,Marynivka border checkpoint,Marynivka border checkpoint,Donetsk oblast,Shaktarsk raion,47.866121,38.858509,198438,369
406995,45,1,Krasnyi Lyman town,"Krasny Lyman, Donetsk region",Donetsk oblast,Krasnyi Lyman City municipality,48.985278,37.811111,199876,369
406996,46,2,Sloviansk town,"Slavyansk, Donetsk region; column of anti-terrorist operation forces moving from Izyum to the Slovyansk area",Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
154067,47,1,Sloviansk town,Sloviansk town,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
154068,48,2,Sloviansk town,He was killed near Slavyansk,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
407090,49,2,Sloviansk town,near Slavyansk,Donetsk oblast,Sloviansk raion,48.853333,37.625,199876,369
154070,50,2,Kramatorsk airfield,Kramatorsk airport,Donetsk oblast,Kramatorsk raion,48.7067,37.6302,199876,369
