event_id,source_date,source_headline,source_id,source_office_id
147997,22.01.2014,"Police disperse Kiev protest- activists say one shot dead",8000,23000
147997,22.01.2014,"Two activists shot dead during Ukraine protests: prosecutors sjw/ma/dh",8001,23000
147997,22.01.2014,"Two shot dead as Ukraine police storm Kiev protest",8002,23000
147997,22.01.2014,"Five dead as Ukraine police launch assault on protesters",8003,23000
147997,25.01.2014,"One more Ukrainian protester dies of wounds in hospital: official",8004,23000
149221,27.01.2014,"Dead man found hanging on Kiev's Independence Square - police",8005,23001
149248,18.02.2014,"UKRAINE PARLIAMENTARY DEPUTY SAYS ON FACEBOOK THAT THREE DEAD BODIES OF PROTESTERS ARE IN A BUILDING CLOSE TO PARLIAMENT",8006,23001
149248,19.02.2014,NULL,8007,23002
149248,18.02.2014,"Ukraine police battle protesters after nation's bloodiest day",8008,23001
149248,19.02.2014,"Four protesters killed in police assault on Kiev camp: opposition",8009,23000
149248,19.02.2014,"Biden urges Ukraine gov't to show restraint",8010,23003
149248,20.02.2014,"WRAPUP 2-Ukraine president agrees truce with opponents as U.S. imposes visa bans",8011,23001
149248,19.02.2014,"Ukraine must keep its military away from protests- Pentagon says",8012,23001
149248,19.02.2014,"Two days of bloody unrest in Ukraine",8013,23000
149248,19.02.2014,"Two days of bloody unrest in Ukraine",8014,23000
149249,20.02.2014,"Ukraine death toll rises to 28: ministry",8015,23000
149251,22.02.2014,"WRAPUP 9-Ukraine parliament removes Yanukovich- who flees Kiev in "coup",,NULL
149250,21.02.2014,"Ukraine rivals sign deal to end crisis",8016,23001
149250,21.02.2014,"Three days of deadly unrest in Ukraine",8017,23000
149250,20.02.2014,"Two police commandoes die in fire at riot police base in Ukraine?s Lvov",8018,23000
149250,20.02.2014,"At least 67 killed in this week's Kiev clashes: authorities",8019,23004
149250,20.02.2014,"Dozens dead on Ukraine's deadliest day",8020,23000
149250,20.02.2014,"WRAPUP 9-Ukraine truce shattered- death toll hits 67",8021,23000
149250,20.02.2014,"WRAP: Death toll in Kiev clashes rises to 35 - Ukraine Health Ministry",8022,23001
149250,3.04.2014,"Special police shot Kiev protesters- inquiry says",8023,23004
153030,2.05.2014,"Death toll from Odessa violence rises to 3: police",8024,23005
153030,6.05.2014,"How did Odessa's fire happen?",8025,23000
153030,15.06.2014,"Report on the human rights situation in Ukraine 15 June 2014",8026,23006
153030,3.05.2014,"FACTBOX-Ukraine says groups from Moldova's Transdniestria stir unrest in Odessa",8027,23007
149866,13.04.2014,"One Ukrainian state security officer killed- 5 others wounded - interior minister",8028,23001
149866,13.04.2014,"Ukraine in bloody battle to oust pro-Russian gunmen",8029,23001
149866,27.04.2021,Slavyansk,8030,23000
149868,13.04.2014,"Ukraine in bloody battle to oust pro-Russian gunmen",8031,23008
419757,12.12.2017,"Report on the human rights situation in Ukraine  16 August to 15 November 2017",8032,23000
149876,17.04.2014,"Ukraine troops kill 3 assailants storming eastern base",8033,23007
149876,17.04.2014,"Ukraine troops kill pro-Russia militants ahead of key talks",8034,23000
149876,17.04.2014,"Casualty numbers used as a weapon in Ukraine crisis",8035,23000
149879,16.04.2014,"Ukrainian troops in control of Donetsk Oblast's Kramatorsk airfield- Ukrainian deputy prime minister says several hundred Russian troops in Ukraine",8036,23001
149879,17.04.2014,"Casualty numbers used as a weapon in Ukraine crisis",8037,23009
398179,27.04.2021,Slavyansk,8038,23001
398183,27.04.2021,Slavyansk,8039,23008
149973,20.04.2014,"Gunbattle in eastern Ukraine kills four: separatist leader",8040,23008
149973,20.04.2014,"Gunbattle in eastern Ukraine kills four: separatist leader",8041,23000
149973,20.04.2014,"Gunbattle in eastern Ukraine kills four: local leader",8042,23000
149973,20.04.2014,"Gunbattle in eastern Ukraine kills four: local leader",8043,23000
149973,27.04.2021,Bylbasovka,8044,23000
149973,27.04.2021,Bylbasovka,8045,23008
152957,24.04.2014,"One killed in Ukraine army assault on rebel-held Slavyansk: officials",8046,23008
