event_id,active_year,date_prec,time_unique_id,date_start,date_end
147997,1,1,1,22.01.2014,22.01.2014
149221,1,1,2,27.01.2014,27.01.2014
149248,1,1,3,18.02.2014,18.02.2014
149249,1,2,4,18.02.2014,20.02.2014
149251,1,2,5,18.02.2014,21.02.2014
149250,1,1,6,20.02.2014,20.02.2014
153030,1,1,7,2.05.2014,2.05.2014
149866,1,1,8,13.04.2014,13.04.2014
149868,1,1,9,13.04.2014,13.04.2014
419757,1,4,10,14.04.2014,30.04.2014
149876,1,2,11,16.04.2014,17.04.2014
149879,1,1,12,16.04.2014,16.04.2014
398179,1,2,13,17.04.2014,19.04.2014
398183,1,4,14,17.04.2014,28.04.2014
149973,1,1,15,20.04.2014,20.04.2014
152957,1,1,16,24.04.2014,24.04.2014
399045,1,1,17,28.04.2014,28.04.2014
399046,1,1,18,30.04.2014,30.04.2014
399063,1,1,19,2.05.2014,2.05.2014
399053,1,1,20,2.05.2014,2.05.2014
153027,1,1,21,2.05.2014,2.05.2014
153037,1,1,22,2.05.2014,2.05.2014
153149,1,1,23,3.05.2014,3.05.2014
153143,1,1,24,3.05.2014,3.05.2014
153433,1,1,25,3.05.2014,3.05.2014
153154,1,1,26,5.05.2014,5.05.2014
153435,1,1,27,9.05.2014,9.05.2014
400158,1,1,28,11.05.2014,11.05.2014
153997,1,1,29,13.05.2014,13.05.2014
154007,1,1,30,19.05.2014,19.05.2014
400186,1,1,31,20.05.2014,20.05.2014
154030,1,1,32,22.05.2014,22.05.2014
417904,1,1,33,22.05.2014,22.05.2014
154034,1,1,34,23.05.2014,23.05.2014
400197,1,1,35,23.05.2014,23.05.2014
400200,1,1,36,23.05.2014,23.05.2014
406991,1,1,37,24.05.2014,24.05.2014
154047,1,1,38,24.05.2014,24.05.2014
154049,1,1,39,25.05.2014,25.05.2014
154050,1,2,40,26.05.2014,27.05.2014
154054,1,2,41,26.05.2014,27.05.2014
406994,1,1,42,28.05.2014,28.05.2014
154058,1,1,43,29.05.2014,29.05.2014
154062,1,1,44,2.06.2014,2.06.2014
406995,1,1,45,3.06.2014,3.06.2014
406996,1,1,46,3.06.2014,3.06.2014
154067,1,1,47,5.06.2014,5.06.2014
154068,1,1,48,6.06.2014,6.06.2014
407090,1,1,49,9.06.2014,9.06.2014
154070,1,1,50,10.06.2014,10.06.2014
154177,1,1,51,10.06.2014,10.06.2014
407094,1,1,52,12.06.2014,12.06.2014
407096,1,1,53,12.06.2014,12.06.2014
407098,1,1,54,13.06.2014,13.06.2014
407100,1,1,55,13.06.2014,13.06.2014
407136,1,1,56,13.06.2014,13.06.2014
154072,1,1,57,13.06.2014,13.06.2014
154074,1,1,58,14.06.2014,14.06.2014
154156,1,1,59,14.06.2014,14.06.2014
407173,1,1,60,17.06.2014,17.06.2014
154179,1,1,61,19.06.2014,19.06.2014
154178,1,1,62,20.06.2014,20.06.2014
154405,1,1,63,21.06.2014,21.06.2014
154404,1,1,64,24.06.2014,24.06.2014
154182,1,1,65,24.06.2014,24.06.2014
407195,1,1,66,24.06.2014,24.06.2014
154408,1,1,67,26.06.2014,26.06.2014
407196,1,1,68,27.06.2014,27.06.2014
154409,1,1,69,28.06.2014,28.06.2014
154410,1,1,70,29.06.2014,29.06.2014
154412,1,2,71,30.06.2014,1.07.2014
407199,1,1,72,30.06.2014,30.06.2014
407200,1,1,73,30.06.2014,30.06.2014
407305,1,1,74,1.07.2014,1.07.2014
418937,1,1,75,1.07.2014,1.07.2014
154734,1,5,76,1.07.2014,3.08.2014
407331,1,1,77,2.07.2014,2.07.2014
407334,1,1,78,2.07.2014,2.07.2014
392366,1,1,79,2.07.2014,2.07.2014
154413,1,1,80,3.07.2014,3.07.2014
407373,1,1,81,3.07.2014,3.07.2014
407414,1,1,82,4.07.2014,4.07.2014
407407,1,1,83,4.07.2014,4.07.2014
407408,1,1,84,4.07.2014,4.07.2014
407409,1,1,85,5.07.2014,5.07.2014
407410,1,1,86,5.07.2014,5.07.2014
407413,1,1,87,8.07.2014,8.07.2014
407417,1,1,88,9.07.2014,9.07.2014
154633,1,2,89,9.07.2014,10.07.2014
154652,1,1,90,10.07.2014,10.07.2014
