source_original_name,original_id
"Maidan protesters",1
"General Prosecutor of Ukraine",2
"Ukrainian police",3
"Maidan representatives",4
police,5
"news correspondents reporting from the site of the events",6
officials,7
"Ukraine's health ministry",8
Maidan,9
"city hall",10
"reporters transmitting from the site",11
"Ministry of health",12
"new authorities",13
"Ukrainian authorities",14
"Ukraine interior minister",15
"Donetsk People's Republic spokesmen",16
OHCHR,17
"Interior Minister Arsen Avakov",18
"Hospital officials",19
"Russian officials",20
"Ukrainian officials",21
insurgents,22
MemoryBook,23
"Vyatcheslav Ponomarev",24
"local pro-Russian leader",25
"medical authorities",26
rebels,27
"Ukrainian army",28
"Ukraine defence ministry",29
"rebel spokesman",30
"Ukraine's interim president",31
"RIA Novosti",32
"AFP journalists on the ground",33
"acting as eyewitnesses",34
eyewitnesses,35
"Ukraine Interior Minister Arsen Avakov",36
"eyewitnesses (husband and sister of civilian killed in crossfire)",37
"rebel sources",38
"Defence ministry of Ukraine",39
"Interim President of Ukraine Oleksandr Turchynov",40
"rebels (Donetsk authorities)",41
"rebel commander",42
"AFP photographer as eyewitness",44
"leader of the Ukrainian National Guard Donbas Batallion of the Ukrainian army",45
"rebel leader",46
"MemoryBook (x2)",47
"Ukrainian military",48
"Ukrainian foreign ministry",49
"Donetsk "people's mayor" (rebel representative)",50
"Ukrainian interior ministry",51
"Donetsk mayor Oleksandr Lukyanchenko (neutral in conflict)",52
"AFP correspondent as eyewitness",53
"prime minister of the rebels' self-styled Donetsk People's Republic",54
"Alexander Borodai",55
"Donetsk police (pro-Ukraine side)",56
"Ukrainian President Oleksandr Turchynov",57
"separatist spokesman",58
"Ukrainian sources",59
"Ukraine deputy interior minister Serhiy Yarovy",60
"UN Rapporteur",61
"rebel spokesperson Vladislav Seleznev",62
"Ukrainian border guards",63
"A Ukranian national security spokesman",64
"head of the presidium of the separatist DPR",65
"Ukrainian defence spokesman Vladyslav Seleznyov",66
"Ukrainian army spokesperson",67
"Russian TV",68
"Ukrainian president Petro Poroshenko",69
"BBC U&B",70
"Ukrainian regional interior mistry",71
"Ukraine's "anti-terrorist operation"",72
"Ukrainian anti-terrorist operation",73
"Military spokesman Vladyslav Seleznyov",74
residents,75
"denied by rebels",76
HRW,77
"hospital sources",78
"MemoryBook (x3)",79
"Malaysian Airlines",80
"Russian authorities",81
"Dutch authorities",82
eyewitness,83
"health officials",84
army,85
"Donetsk regional administration",86
"medical teams",87
"United Nations",88
"local (independent) officials",89
"Ukrainian Army",90
"Reuters correspondent",91
"Ukrainian military spokesman Oleksiy Dmytrashkivsky",92
"local authorities",93
"Donetsk deputy mayor",94
"Russian Foreign Ministry",95
"Donetsk rebel militia headquarters",96
"Donetsk officials",97
"city authorities",98
"Donetsk health authorities",99
"Right Sector Spokesman",100
"Memory book",101
"Memory Book",102
"Associated Press reporters eyewitnesses",103
"Russian presidential human rights council",104
"an official body of the Russian Presidency with extremely strained relations with the Kremlin",105
"Donetsk city administration",106
"Donetsk city council",107
"Memorybook x2",108
"Donetsk  city council",109
"Reuters eyewitness",110
"health authorities",111
"Memorybook x4",112
"Memorybook x3",113
"Memorybook x8",114
"city council",115
"Memorybook x9",116
Memeorybook,117
"Memerybook x6",118
"separatist militias? Southeast Army",119
"Reuters staff as eyewitness",120
"AFP correspondents",121
"Memorybook x5",122
Pervomaiske,123
"Russian media in Luhansk",124
"medical officials",125
"Luhansk city council (independent)",126
"Lugansk People's Republic chief press officer",127
"Ukraine Deputy Interior Minister Serhiy Yarovoy",128
"Ukrainian National Guard",129
"Ukrainian minister",130
"medical sources",131
separatists,132
"Ukrainian Military spokesman Vladyslav Seleznyov",133
